p,d,q,P,D,Q,rmse,mae,mape
0,0,0,0,0,0,951.8849083939425,949.5862123638989,0.5363574785370221
0,0,0,0,0,1,932.3389948138838,924.5809393148983,0.5225965063076047
0,0,0,0,1,0,73.03218531963824,59.69157024793389,0.033539634698665104
0,0,0,0,1,1,73.00360756009847,59.72102346077115,0.03354310942445133
0,0,0,1,0,0,96.24655665063598,79.33038148014255,0.04402741917593983
0,0,0,1,0,1,95.89378960086498,79.00634038465236,0.04384194896728234
0,0,0,1,1,0,72.99867292872962,59.71749566821923,0.03354156520677088
0,0,0,1,1,1,72.95713922893498,59.691824229349734,0.0335295905076739
0,0,1,0,0,0,950.7284593073381,948.081535941559,0.5354878126111066
0,0,1,0,0,1,929.6084644854559,920.0617694748465,0.5204299110610053
0,0,1,0,1,0,72.89034588750083,59.55215445666471,0.03343955470792168
0,0,1,0,1,1,73.5613817036436,60.35037076114504,0.03379108984094972
0,0,1,1,0,0,108.91373318589169,90.92312755225586,0.05050456864101718
0,0,1,1,0,1,104.24573133940994,86.50043182179719,0.04797848422729462
0,0,1,1,1,0,73.08164478051081,59.99237776290048,0.03362020309793668
0,0,1,1,1,1,72.74619781580691,59.47474936076219,0.03339786115609662
0,0,2,0,0,0,948.4410192805626,943.638476987271,0.5329146142587379
0,0,2,0,0,1,932.5214842160188,924.5877257275729,0.5225989818272928
0,0,2,0,1,0,72.93507218998985,59.63605737172609,0.03342965834126789
0,0,2,0,1,1,79.5681164754558,65.0760608829801,0.03619648536463863
0,0,2,1,0,0,129.97519286719304,111.32777062437933,0.062016909210180264
0,0,2,1,0,1,949.0764125268329,945.1879965664149,0.5338134326756074
0,0,2,1,1,0,74.4253331445473,61.215109032328854,0.0341929632603527
0,0,2,1,1,1,72.5066694780184,59.41610663861968,0.033360261782788996
0,1,0,0,0,0,77.9496221980995,63.777438016528926,0.035450104392165525
0,1,0,0,0,1,81.10487313954678,66.24202144394486,0.0367595104433731
0,1,0,0,1,0,541.5730303400528,483.19074380163033,0.2738274925143518
0,1,0,0,1,1,94.08013055064531,76.16697824799843,0.04368858662713418
0,1,0,1,0,0,80.1284378632582,65.43777844621734,0.03632853957595917
0,1,0,1,0,1,81.17767414173899,66.30135233712507,0.03679132527978703
0,1,0,1,1,0,604.8392830095995,518.7253993621388,0.29679636915019014
