changepoint_prior_scale,seasonality_prior_scale,rmse,mae,mape
0.01,1.0,1.1347641032818805,1.0550165658516795,0.18660801943642966
0.01,5.0,1.1202294776787156,1.040358413677852,0.18397180746944164
0.01,10.0,1.0838331207633929,1.0041226450448335,0.17747587572543974
0.01,20.0,1.1145525442963853,1.034460191301109,0.18290556959207735
0.05,1.0,0.8171458010500462,0.7291295196962164,0.12795410880051908
0.05,5.0,0.8245727808553615,0.737110595652744,0.12939556339806982
0.05,10.0,0.8139463135557398,0.7259934995242531,0.12739501933949432
0.05,20.0,0.8174762841839596,0.7296863450454533,0.12805946615801686
0.1,1.0,0.8107956475881398,0.722368532717765,0.12673427412584
0.1,5.0,0.8109112003422698,0.7225462068873706,0.1267675744505094
0.1,10.0,0.811592582959637,0.7232415045649879,0.12689222089811786
0.1,20.0,0.8112801079067697,0.7228678437908359,0.12682371995494576
0.2,1.0,0.8095922405532822,0.7208178802997706,0.1264482410044523
0.2,5.0,0.8091949819227225,0.7204246627948606,0.12637808092525935
0.2,10.0,0.8088096263152803,0.7198725872763148,0.12627525746656504
0.2,20.0,0.8089572487811858,0.7201175969830466,0.126321557385285
