trade_date,ts_code,open,high,low,close,vol,amount,log_return,log_return_seasonal_diff,month,quarter,dayofweek,is_monday,is_before_holiday
2013-01-04,600519.SH,212.0,212.0,205.0,206.94,58370.34,1205796.538,,,1,1,4,0,0
2013-01-07,600519.SH,205.88,205.88,202.5,204.29,41271.39,840359.829,-0.0128883431772433,,1,1,0,1,0
2013-01-08,600519.SH,203.18,210.85,203.18,210.84,65286.98,1362186.171,0.0315589989874443,,1,1,1,0,0
2013-01-09,600519.SH,211.5,217.65,211.5,216.45,53749.32,1159330.305,0.026260021900983865,,1,1,2,0,0
2013-01-10,600519.SH,215.58,217.0,213.0,214.5,30527.86,656830.931,-0.009049835519918226,,1,1,3,0,0
2013-01-11,600519.SH,213.72,215.15,209.88,211.26,37009.99,784542.945,-0.015220135973055271,,1,1,4,0,0
2013-01-14,600519.SH,208.5,210.3,202.81,209.42,68183.58,1410483.972,-0.008747797535700208,,1,1,0,1,0
2013-01-15,600519.SH,208.79,212.1,206.82,210.85,52635.08,1103130.868,0.006805175333252755,,1,1,1,0,0
2013-01-16,600519.SH,205.0,206.8,203.68,206.0,69501.65,1427067.086,-0.02327081140298759,,1,1,2,0,0
2013-01-17,600519.SH,204.99,207.68,204.52,205.13,36201.85,744614.971,-0.004232244295535814,,1,1,3,0,0
2013-01-18,600519.SH,206.15,206.48,200.11,203.76,55318.07,1122848.386,-0.0067010938228442285,,1,1,4,0,0
2013-01-21,600519.SH,202.8,202.8,196.3,197.31,74779.28,1482664.898,-0.03216673468983178,,1,1,0,1,0
2013-01-22,600519.SH,195.81,199.73,189.0,198.83,73815.41,1425054.465,0.007674092288620038,,1,1,1,0,0
2013-01-23,600519.SH,196.0,199.51,193.8,198.98,51013.93,1006483.564,0.0007541288912245037,0.013642472068467804,1,1,2,0,0
2013-01-24,600519.SH,197.9,200.1,194.8,195.96,59474.38,1171137.855,-0.01529376039083985,-0.04685275937828415,1,1,3,0,0
2013-01-25,600519.SH,189.0,191.8,186.1,189.05,80007.86,1508197.81,-0.03589902643343201,-0.06215904833441588,1,1,4,0,0
2013-01-28,600519.SH,186.0,187.8,178.0,178.5,158290.58,2857092.951,-0.05742292911724878,-0.04837309359733055,1,1,0,1,0
2013-01-29,600519.SH,176.0,179.99,172.0,178.16,115447.87,2034723.439,-0.0019065782705816048,0.013313557702473666,1,1,1,0,0
2013-01-30,600519.SH,177.05,182.49,176.68,180.12,71376.78,1285436.676,0.010941272484259024,0.01968907001995923,1,1,2,0,0
2013-01-31,600519.SH,181.2,181.8,177.77,178.9,37816.23,678384.682,-0.006796304918696983,-0.013601480251949738,1,1,3,0,0
2013-02-01,600519.SH,178.88,181.77,178.03,178.98,45265.64,813241.68,0.00044707724003867355,0.023717888643026264,2,1,4,0,0
2013-02-04,600519.SH,180.0,180.95,174.0,175.13,64964.02,1142310.991,-0.02174551247013934,-0.017513268174603525,2,1,0,1,2
2013-02-05,600519.SH,174.95,184.5,173.8,184.43,87825.4,1575281.159,0.051741432410141286,0.058442526232985514,2,1,1,0,2
2013-02-06,600519.SH,184.98,185.07,182.0,183.93,46195.17,849026.089,-0.0027147372520079927,0.029451997437823785,2,1,2,0,2
2013-02-07,600519.SH,183.0,186.55,181.32,185.17,48567.91,895061.569,0.006719071607018456,-0.0009550206816015816,2,1,3,0,2
2013-02-08,600519.SH,185.15,188.4,184.3,187.86,41572.53,778273.77,0.014422682516644691,0.013668553625420188,2,1,4,0,2
2013-02-19,600519.SH,178.98,180.59,176.8,177.92,37737.53,673362.435,-0.05436299350415208,-0.03906923311331223,2,1,1,0,0
2013-02-20,600519.SH,177.0,179.98,175.02,177.9,36582.26,650765.308,-0.00011241639042758322,0.03578661004300443,2,1,2,0,0
2013-02-21,600519.SH,175.23,185.2,175.05,180.02,53832.87,974530.658,0.011846361157149765,0.06926929027439854,2,1,3,0,0
2013-02-22,600519.SH,181.0,186.6,181.0,185.59,62864.18,1163340.82,0.03047198376127369,0.032378562031855296,2,1,4,0,0
2013-02-25,600519.SH,184.0,185.35,180.26,181.09,34549.09,629472.576,-0.024545794336962246,-0.03548706682122127,2,1,0,1,0
2013-02-26,600519.SH,180.7,184.0,177.33,177.37,43754.79,783158.037,-0.020756199035756318,-0.013959894117059335,2,1,1,0,0
2013-02-27,600519.SH,176.61,178.7,175.56,176.77,34158.15,602608.232,-0.003388493669702619,-0.0038355709097412927,2,1,2,0,0
2013-02-28,600519.SH,177.8,177.8,172.0,175.0,56786.43,990766.787,-0.0100634786242777,0.011682033845861639,2,1,3,0,0
2013-03-01,600519.SH,174.3,175.96,172.99,173.82,38003.45,661720.749,-0.006765692914200372,-0.05850712532434166,3,1,4,0,0
2013-03-04,600519.SH,173.72,176.62,173.72,174.72,52072.95,912360.626,0.005164411547226244,0.007879148799234237,3,1,0,1,0
2013-03-05,600519.SH,175.42,176.46,173.86,175.0,36974.71,648668.784,0.0016012813669741277,-0.005117790240044329,3,1,1,0,0
2013-03-06,600519.SH,176.0,177.3,173.65,177.22,49227.26,861725.426,0.01260592469564159,-0.001816757821003101,3,1,2,0,0
2013-03-07,600519.SH,179.38,188.6,179.32,183.86,85190.62,1573676.093,0.036782699816452435,0.09114569332060452,3,1,3,0,0
2013-03-08,600519.SH,186.01,187.5,183.67,184.13,35959.78,667118.431,0.0014674314435199065,0.0015798478339474897,3,1,4,0,0
2013-03-11,600519.SH,183.8,185.5,181.81,185.2,34965.28,642927.319,0.00579429233295059,-0.006052068824199175,3,1,0,1,0
2013-03-12,600519.SH,186.0,186.1,180.0,182.18,25393.65,465220.571,-0.016441112895415166,-0.04691309665668886,3,1,1,0,0
2013-03-13,600519.SH,182.4,186.02,182.4,183.83,30769.9,567812.074,0.009016208178116436,0.03356200251507868,3,1,2,0,0
2013-03-14,600519.SH,182.5,184.77,178.66,178.94,35124.0,635985.859,-0.026960863375330213,-0.006204664339573895,3,1,3,0,0
2013-03-15,600519.SH,177.52,180.7,175.1,176.97,35961.12,639236.967,-0.011070327436356386,-0.007681833766653767,3,1,4,0,0
2013-03-18,600519.SH,176.9,176.9,168.19,169.45,78231.53,1336285.511,-0.043422328630033036,-0.033358850005755336,3,1,0,1,0
2013-03-19,600519.SH,168.2,169.82,164.51,165.18,63414.03,1052322.589,-0.025522109670490067,-0.018756416756289696,3,1,1,0,0
2013-03-20,600519.SH,165.26,170.59,164.1,169.91,71894.98,1202347.854,0.02823309671509655,0.023068685167870306,3,1,2,0,0
2013-03-21,600519.SH,169.5,169.5,165.8,166.78,65392.72,1091400.974,-0.018593306438828172,-0.0201945878058023,3,1,3,0,0
2013-03-22,600519.SH,166.48,169.9,165.71,169.05,45578.63,767262.032,0.013518950495056359,0.0009130257994147684,3,1,4,0,0
2013-03-25,600519.SH,169.0,170.77,168.1,169.03,31966.46,541959.904,-0.00011831519180915961,-0.036901015008261595,3,1,0,1,0
2013-03-26,600519.SH,169.1,171.21,168.41,169.88,32480.09,551865.776,0.0050160914829842085,0.003548660039464302,3,1,1,0,0
2013-03-27,600519.SH,170.01,170.4,165.4,166.79,47662.21,795809.835,-0.01835676935598851,-0.0241510616889391,3,1,2,0,0
2013-03-28,600519.SH,166.08,168.18,162.31,166.82,41490.9,685703.919,0.00017985072438353455,0.0166209636197987,3,1,3,0,0
2013-03-29,600519.SH,167.25,169.57,166.02,168.86,47717.09,802924.384,0.012154582427888805,0.003138374249772369,3,1,4,0,0
2013-04-01,600519.SH,168.09,168.46,164.58,164.95,29128.8,483197.214,-0.02342757156676356,0.003533291808566652,4,2,0,1,0
2013-04-02,600519.SH,165.1,165.97,163.27,163.71,32524.9,534554.075,-0.007545827808340455,0.0035244996280159313,4,2,1,0,0
2013-04-03,600519.SH,163.68,165.0,163.18,163.85,21990.5,360543.77,0.0008548052785730675,0.0442771339086061,4,2,2,0,0
2013-04-08,600519.SH,162.14,165.0,160.45,164.32,37732.76,613230.373,0.0028643710354252505,0.028386480705915318,4,2,0,1,0
2013-04-09,600519.SH,163.89,164.9,162.7,163.6,24194.65,396645.807,-0.004391322011601417,-0.03262441872669797,4,2,1,0,0
2013-04-10,600519.SH,164.0,171.11,162.7,169.96,70858.38,1194391.2,0.03813869107796375,0.05673199751679192,4,2,2,0,0
2013-04-11,600519.SH,170.0,171.0,168.3,168.92,29729.52,504695.116,-0.006137885180867997,-0.019656835675924356,4,2,3,0,0
2013-04-12,600519.SH,168.92,174.4,168.5,172.23,59800.06,1032119.622,0.019405562781912522,0.01952387797372168,4,2,4,0,0
2013-04-15,600519.SH,172.27,173.66,170.02,172.74,28336.73,487286.254,0.0029567810044843768,-0.0020593104784998317,4,2,0,1,0
2013-04-16,600519.SH,170.0,175.2,169.6,173.16,39137.92,676673.436,0.002428448721640386,0.020785218077628898,4,2,1,0,0
2013-04-17,600519.SH,173.6,178.77,173.55,178.49,42974.08,760898.345,0.030316554667636275,0.03013670394325274,4,2,2,0,0
2013-04-18,600519.SH,177.2,180.0,176.01,179.15,41956.84,749007.268,0.003690866509546531,-0.008463715918342274,4,2,3,0,0
2013-04-19,600519.SH,179.4,179.88,176.89,179.23,39238.38,701185.036,0.00044645349254324174,0.023874025059306803,4,2,4,0,0
2013-04-22,600519.SH,178.9,178.9,173.5,173.71,42745.96,747616.492,-0.0312826551296741,-0.023736827321333642,4,2,0,1,0
2013-04-23,600519.SH,173.5,174.98,171.7,171.81,30952.62,535923.146,-0.010998027039956781,-0.011852832318529849,4,2,1,0,0
2013-04-24,600519.SH,172.22,175.0,170.3,174.87,30402.61,525381.344,0.01765362565169326,0.01478925461626801,4,2,2,0,0
2013-04-25,600519.SH,174.02,177.56,173.22,176.7,25359.69,446045.076,0.01041053860008212,0.014801860611683537,4,2,3,0,0
2013-04-26,600519.SH,177.41,178.0,173.01,173.99,16307.64,285787.932,-0.01545555302702617,-0.05359424410498992,4,2,4,0,0
2013-05-02,600519.SH,173.0,173.05,169.03,171.11,28586.79,489586.43,-0.016691201754745144,-0.010553316573877147,5,2,3,0,0
2013-05-03,600519.SH,171.8,174.02,170.6,172.45,21460.52,369986.951,0.007800714838970713,-0.01160484794294181,5,2,4,0,0
2013-05-06,600519.SH,173.0,177.98,171.98,177.8,30196.39,529181.415,0.03055198369695411,0.027595202692469734,5,2,0,1,0
2013-05-07,600519.SH,179.02,188.34,179.02,187.69,71020.55,1305178.758,0.0541323425883542,0.05170389386671381,5,2,1,0,0
2013-05-08,600519.SH,187.8,190.0,186.13,188.89,42416.06,799534.954,0.006373169375569532,-0.023943385292066743,5,2,2,0,0
2013-05-09,600519.SH,189.26,197.2,189.26,197.18,70134.68,1370326.17,0.04295218210316776,0.03926131559362123,5,2,3,0,0
2013-05-10,600519.SH,197.01,200.92,196.01,197.11,48776.59,970170.014,-0.00035506860805778473,-0.0008015221006010265,5,2,4,0,0
2013-05-13,600519.SH,197.11,201.6,193.77,197.68,32579.04,645155.894,0.002887613141516532,0.03417026827119063,5,2,0,1,0
2013-05-14,600519.SH,196.1,197.1,190.01,191.19,36431.6,701153.965,-0.033381863686042124,-0.022383836646085342,5,2,1,0,0
2013-05-15,600519.SH,190.88,196.66,190.72,194.66,23264.4,452499.708,0.017986749004035296,0.00033312335234203516,5,2,2,0,0
2013-05-16,600519.SH,194.01,200.51,192.0,194.85,45462.27,893376.381,0.0009755847863708311,-0.009434953813711289,5,2,3,0,0
2013-05-17,600519.SH,194.08,196.45,193.0,195.91,33556.72,654713.526,0.005425338315222739,0.02088089134224891,5,2,4,0,0
2013-05-20,600519.SH,196.8,198.48,194.45,195.0,30944.06,605797.988,-0.004655811536194321,0.012035390218550823,5,2,0,1,0
2013-05-21,600519.SH,194.88,195.76,193.51,195.02,23102.34,449227.066,0.00010255884322596387,-0.007698155995744749,5,2,1,0,0
2013-05-22,600519.SH,195.65,200.6,195.1,199.47,46149.64,917905.229,0.02256173167550024,-0.00799025202145387,5,2,2,0,0
2013-05-23,600519.SH,199.6,206.49,199.6,202.44,62247.45,1272531.72,0.014779697263404223,-0.039352645324949975,5,2,3,0,0
2013-05-24,600519.SH,204.0,207.17,200.0,200.93,45073.12,915894.075,-0.007486957649415871,-0.013860127024985402,5,2,4,0,0
2013-05-27,600519.SH,201.97,202.1,198.0,201.63,26778.12,536544.405,0.003477745953523126,-0.03947443614964463,5,2,0,1,0
2013-05-28,600519.SH,201.88,203.31,199.55,202.14,23676.36,477386.72,0.0025261919965320345,0.0028812606045898193,5,2,1,0,0
2013-05-29,600519.SH,203.0,206.87,201.35,201.49,32340.02,659505.373,-0.003220774282842065,-0.006108387424358597,5,2,2,0,0
2013-05-30,600519.SH,200.8,202.82,199.01,200.25,25019.42,500916.433,-0.0061731664152056,0.027208697270836524,5,2,3,0,0
2013-05-31,600519.SH,200.97,201.4,197.0,197.1,24590.56,490984.247,-0.01585537178979468,-0.03384212079382998,5,2,4,0,0
2013-06-03,600519.SH,198.1,202.55,197.18,202.08,40256.75,807356.528,0.02495244444350675,0.02397685965713592,6,2,0,1,0
