ts_code,trade_date,open,high,low,close,vol,amount
601328.SH,2013-01-04,5.02,5.12,4.99,5.06,1860521.6,940606.414
601328.SH,2013-01-07,5.06,5.16,5.05,5.06,980276.83,499414.735
601328.SH,2013-01-08,5.09,5.1,4.96,4.98,726593.55,363411.742
601328.SH,2013-01-09,4.98,4.99,4.89,4.91,851054.28,420360.826
601328.SH,2013-01-10,4.91,4.94,4.87,4.9,750362.16,368025.934
601328.SH,2013-01-11,4.92,4.94,4.82,4.85,617463.0,301475.594
601328.SH,2013-01-14,4.84,5.08,4.83,5.04,1030440.15,512481.028
601328.SH,2013-01-15,5.03,5.11,5.0,5.04,1017757.71,512997.462
601328.SH,2013-01-16,5.03,5.06,4.83,4.96,680962.54,338732.557
601328.SH,2013-01-17,4.94,4.95,4.85,4.89,866793.0,423794.075
601328.SH,2013-01-18,4.93,5.0,4.91,4.97,595691.9,294886.249
601328.SH,2013-01-21,4.98,5.0,4.92,4.99,885536.63,439081.132
601328.SH,2013-01-22,4.96,5.19,4.93,5.05,1874467.11,949279.382
601328.SH,2013-01-23,5.03,5.1,5.02,5.09,875630.44,443907.073
601328.SH,2013-01-24,5.1,5.25,5.05,5.1,1981370.28,1023424.8
601328.SH,2013-01-25,5.1,5.13,5.03,5.09,586802.47,298061.998
601328.SH,2013-01-28,5.1,5.25,5.09,5.24,1353344.44,704757.397
601328.SH,2013-01-29,5.26,5.27,5.17,5.24,1657414.42,863806.556
601328.SH,2013-01-30,5.23,5.31,5.18,5.29,1399766.39,733635.187
601328.SH,2013-01-31,5.3,5.44,5.29,5.4,1702537.43,915231.256
601328.SH,2013-02-01,5.4,5.57,5.35,5.56,1536398.15,843932.794
601328.SH,2013-02-04,5.57,5.68,5.53,5.54,1387324.69,778507.306
601328.SH,2013-02-05,5.5,5.55,5.35,5.38,1865129.91,1011339.568
601328.SH,2013-02-06,5.41,5.44,5.34,5.43,963178.04,520442.889
601328.SH,2013-02-07,5.42,5.43,5.2,5.28,1391642.95,737881.767
601328.SH,2013-02-08,5.28,5.32,5.22,5.28,814924.46,429874.133
601328.SH,2013-02-18,5.3,5.39,5.28,5.28,987056.29,526128.632
601328.SH,2013-02-19,5.28,5.32,5.19,5.22,737852.67,386495.419
601328.SH,2013-02-20,5.25,5.25,5.09,5.18,1132690.6,582801.274
601328.SH,2013-02-21,5.11,5.13,4.92,4.95,1370302.41,686105.568
601328.SH,2013-02-22,4.96,5.04,4.94,4.97,827076.11,412824.801
601328.SH,2013-02-25,5.0,5.03,4.94,4.98,390111.57,194369.878
601328.SH,2013-02-26,4.95,5.06,4.91,4.92,888099.59,443400.889
601328.SH,2013-02-27,4.93,5.0,4.87,4.88,1083829.75,532524.308
601328.SH,2013-02-28,4.93,5.04,4.89,5.03,1351745.06,671944.817
601328.SH,2013-03-01,5.03,5.06,4.92,4.98,877155.93,438051.872
601328.SH,2013-03-04,4.9,4.96,4.7,4.74,1953809.96,938115.826
601328.SH,2013-03-05,4.75,4.94,4.75,4.93,1596508.18,771461.86
601328.SH,2013-03-06,4.94,4.96,4.87,4.92,1207729.11,592436.145
601328.SH,2013-03-07,4.88,4.9,4.7,4.78,1187223.0,572252.974
601328.SH,2013-03-08,4.79,4.81,4.76,4.79,502352.83,240373.677
601328.SH,2013-03-11,4.79,4.79,4.72,4.74,417673.73,198198.902
601328.SH,2013-03-12,4.75,4.8,4.69,4.72,775400.86,367093.288
601328.SH,2013-03-13,4.71,4.73,4.68,4.69,420574.31,197768.34
601328.SH,2013-03-14,4.68,4.72,4.67,4.71,450128.2,211519.373
601328.SH,2013-03-15,4.7,4.87,4.68,4.73,927941.37,442153.22
601328.SH,2013-03-18,4.72,4.76,4.65,4.66,820743.53,385757.061
601328.SH,2013-03-19,4.67,4.71,4.66,4.69,604080.49,282647.842
601328.SH,2013-03-20,4.7,4.89,4.69,4.88,1684831.56,812303.196
601328.SH,2013-03-21,4.89,4.91,4.83,4.86,834521.11,407015.691
601328.SH,2013-03-22,4.86,4.88,4.83,4.86,553069.84,268838.429
601328.SH,2013-03-25,4.88,4.92,4.87,4.9,609699.34,298704.788
601328.SH,2013-03-26,4.88,4.9,4.79,4.8,711556.72,343365.102
601328.SH,2013-03-27,4.81,4.91,4.81,4.86,655860.4,318124.729
601328.SH,2013-03-28,4.75,4.75,4.65,4.69,1352852.64,634135.851
601328.SH,2013-03-29,4.7,4.73,4.68,4.71,418643.15,197071.441
601328.SH,2013-04-01,4.69,4.71,4.66,4.69,426700.39,199896.514
601328.SH,2013-04-02,4.7,4.73,4.68,4.71,439194.64,206348.647
601328.SH,2013-04-03,4.72,4.77,4.71,4.73,418957.34,198462.82
601328.SH,2013-04-08,4.68,4.71,4.65,4.68,692172.72,323534.802
601328.SH,2013-04-09,4.7,4.73,4.68,4.69,477037.79,224089.394
601328.SH,2013-04-10,4.69,4.7,4.65,4.67,350497.99,163671.805
601328.SH,2013-04-11,4.69,4.71,4.66,4.66,397896.25,186416.635
601328.SH,2013-04-12,4.67,4.68,4.63,4.65,354117.34,164774.985
601328.SH,2013-04-15,4.65,4.68,4.61,4.67,628362.17,292172.747
601328.SH,2013-04-16,4.65,4.67,4.61,4.63,651669.71,301951.059
601328.SH,2013-04-17,4.64,4.64,4.57,4.58,610885.13,280791.172
601328.SH,2013-04-18,4.56,4.63,4.55,4.62,501688.26,230203.164
601328.SH,2013-04-19,4.63,4.77,4.61,4.73,1057795.04,497192.967
601328.SH,2013-04-22,4.73,4.74,4.71,4.72,442195.94,209017.916
601328.SH,2013-04-23,4.73,4.74,4.59,4.59,522981.23,242487.508
601328.SH,2013-04-24,4.61,4.69,4.59,4.65,483309.55,224068.797
601328.SH,2013-04-25,4.64,4.66,4.59,4.65,568777.65,263241.562
601328.SH,2013-04-26,4.66,4.67,4.61,4.63,419414.65,194626.05
601328.SH,2013-05-02,4.64,4.66,4.62,4.64,391258.52,181420.457
601328.SH,2013-05-03,4.65,4.76,4.64,4.69,600952.94,282978.808
601328.SH,2013-05-06,4.71,4.75,4.69,4.72,470304.3,222058.67
